Meter	Temperature	Radiation
8673663,383	11,87998227	0,079988331
8673666,067	11,68083796	0,639906645
8673682,732	11,79142786	4,792633136
8673717,114	12,10233107	12,8565097
8673776,196	12,30821768	23,31036758
8673871,321	12,61287819	39,43435542
8674015,594	13,17762338	62,42888991
8674263,196	13,87192169	95,01590602
8674629,663	14,7129328	131,3169657
8675124,828	15,35550435	170,1500607
8675782,309	15,77820629	211,4835866
8676458,227	16,21723548	254,0738017
8677125,1	16,5612301	297,5973117
8677789,395	16,88142323	341,6808879
8678455,654	17,38765022	385,5931702
8679124,101	17,72476281	429,1661123
8679791,311	17,97965049	472,2908427
8680457,87	18,43189688	515,1285604
8681123,851	19,06373087	557,6604207
8681789,041	19,38716605	599,6310018
8682455,226	20,00037652	641,2640788
8683122,49	20,25024211	682,4554901
8683789,463	20,77039036	722,4606527
8684456,257	20,94879747	760,8769938
8685122,662	21,0481046	797,582372
8685787,526	21,69323164	832,3686523
8686453,742	21,62615243	865,65684
8687121,403	21,65156822	897,3217926
8687788,087	21,78610465	926,3167928
8688454,21	21,75628949	953,1613159
8689120,086	22,02813906	978,0538228
8689786,856	22,36060521	1001,467143
8690453,045	22,13704808	1024,499186
8691118,997	22,34194933	1046,44518
8691787,891	22,53948026	1062,68335
8692456,315	22,66268321	1076,336914
8693123,31	22,76105697	1087,874725
8693787,502	23,09275096	1096,517822
8694452,49	23,17488808	1104,211995
8695118,631	23,32210062	1110,70929
8695784,122	23,40627202	1112,824137
8696450,345	23,49580495	1113,927327
8697117,393	23,81701483	1113,845439
8697784,34	23,92386636	1108,340576
8698451,282	23,92597648	1101,691406
8699118,29	24,007675	1094,50412
8699785,63	24,35320415	1085,531006
8700451,333	24,48757482	1074,11141
8701115,689	24,29517967	1060,095337
8701782,119	24,61251863	1043,393473
8702449,607	24,79006428	1026,051636
8703117,595	24,98348153	1008,096029
8703784,317	24,80729769	987,6118571
8704451,905	25,03022226	964,0441895
8705120,15	25,25760908	937,6374105
8705785,876	25,26186891	910,1683757
8706451,859	25,43630646	880,8117879
8707118,393	25,47470878	849,7234395
8707784,175	25,77922579	818,5075887
8708450,336	25,53986457	784,8717855
8709116,75	25,65205846	748,7685394
8709781,658	25,67318402	712,2528483
8710447,91	25,55650856	674,6311442
8711115,589	25,6599108	635,5787455
8711782,268	25,60291542	594,1658122
8712448,12	25,72821633	551,7475789
8713113,521	25,62381348	508,6882146
8713780,178	25,72499973	465,4533285
8714447,271	25,5054622	422,0881144
8715114,29	25,44113863	378,5779165
8715779,506	25,42578571	334,8042603
8716442,227	25,20242629	291,0091858
8717082,42	25,12322819	247,4103572
8717600,616	24,93338264	204,8540548
8717991,955	24,71362164	163,674085
8718258,519	24,3610526	124,1525402
8718415,588	23,9915495	87,36607615
8718519,331	23,61998972	56,39528338
8718583,633	23,13426143	32,52259739
