Total	Norte	Nordeste	Sudeste	Sul	Centro_Oeste
35565987,39	2262894,39	5899310,00	18908980,00	6147984,00	2346819,00
35159573,72	2323603,72	5809043,00	18737534,00	6011171,00	2278222,00
35417292,62	2351515,62	5936622,00	18731628,00	6081811,00	2315716,00
36335812,84	2406842,84	6092998,00	19249143,00	6177576,00	2409253,00
36965189,34	2419447,34	6093026,00	19753623,00	6133865,00	2565228,00
36743770,38	2476119,38	6216199,00	19385128,00	6118714,00	2547610,00
36368389,77	2369153,77	6137780,00	19378704,00	6045746,00	2437006,00
36741948,78	2415931,78	6244198,00	19297800,00	6344201,00	2439818,00
36305167,29	2368905,09	6297828,00	18915418,00	6353277,20	2369739,00
36900531,02	2321771,54	6010436,00	19339928,00	6812782,48	2415613,00
38623110,72	2439658,43	6407753,00	20230842,00	7026116,29	2518741,00
37995869,09	2361904,78	6271553,00	20295686,00	6534981,31	2531744,00
36810191,03	2430160,15	6436375,00	19244538,00	6141746,88	2557371,00
36528393,11	2382273,83	6135291,00	19343073,00	6180121,28	2487634,00
35917147,20	2397647,91	6111808,00	18762191,00	6188904,29	2456596,00
37179602,53	2490520,71	6323564,00	19393131,00	6391480,82	2580906,00
37661696,12	2455692,17	6288243,00	19904342,00	6340228,95	2673190,00
37796014,07	2505782,40	6427697,00	19837975,00	6251817,67	2772742,00
38643584,23	2484061,67	6421108,00	20485581,00	6543891,56	2708942,00
37765084,44	2410373,03	6478746,00	19506176,00	6725279,41	2644510,00
38366809,74	2392452,74	6659728,00	20089886,00	6617103,00	2607640,00
38005651,72	2266205,72	6452494,00	19775484,00	6952735,00	2558733,00
38442191,55	2378191,55	6705944,00	19907218,00	6833953,00	2616885,00
38653663,43	2461104,43	6852552,00	20097448,00	6572123,00	2670436,00
38344861,57	2454163,57	6660227,00	19911821,00	6613672,00	2704978,00
37627698,01	2449533,01	6384530,00	19652655,00	6498366,00	2642614,00
37697945,03	2562520,03	6534919,00	19331509,00	6544154,00	2724843,00
38613276,26	2559396,26	6580762,00	19838087,00	6797218,00	2837813,00
38524724,16	2571187,16	6536720,00	20027335,00	6572961,00	2816521,00
39389004,38	2720586,38	6832552,00	20325563,00	6654874,00	2855429,00
39920289,54	2641605,54	6759701,00	20765973,00	6849526,00	2903484,00
39556378,24	2738735,24	6733760,00	20381824,00	6885986,00	2816073,00
40279759,00	2600972,00	6886428,00	20704340,00	7333087,00	2754932,00
41653487,00	2476973,00	6620899,00	21763013,00	8019594,00	2773008,00
40269429,00	2612667,00	6857552,00	20782600,00	7281924,00	2734686,00
39591854,00	2601327,00	6683649,00	20451575,00	7007480,00	2847823,00
39100499,00	2707327,00	6683419,00	20068194,00	6794930,00	2846629,00
37726472,88	2643397,00	6378157,88	19293127,00	6627215,00	2784576,00
37866809,00	2821879,00	6554674,00	19111350,00	6639960,00	2738946,00
38550694,00	2657952,00	6652720,00	19438306,00	6872774,00	2928942,00
38894976,00	2836892,00	6721395,00	19529007,00	6787415,00	3020267,00
40100440,59	2825876,00	6929490,59	20304956,00	6922704,00	3117414,00
40950726,39	2762256,00	6919617,39	20968110,00	7264836,00	3035907,00
39838307,03	2816133,00	6859202,03	20098588,00	7266585,00	2797799,00
40738291,74	2720657,89	6905457,28	20943263,25	7330738,32	2838175,00
40699842,98	2565453,00	6689281,81	20869826,87	7665269,30	2910012,00
39735951,44	2709350,00	6841732,03	20150053,41	7278854,00	2755962,00
39573744,46	2646878,00	6671252,84	20215138,02	7236051,60	2804424,00
38179073,88	2718412,00	6653755,95	19296451,63	6683610,30	2826844,00
37240557,10	2693038,00	6435715,46	18752590,64	6567886,00	2791327,00
36792495,92	2833640,00	6215489,45	18532921,47	6446540,00	2763905,00
37836828,47	2891977,49	6333882,31	19084994,17	6648543,50	2877431,00
37818309,05	2964444,00	6385462,69	18919408,01	6494009,35	3054985,00
39252000,52	3050012,00	6634595,74	19814545,94	6561338,84	3191508,00
39201262,49	2958108,00	6654705,85	19836832,10	6636695,54	3114921,00
38645417,47	2962634,00	6792624,31	19359381,94	6604791,22	2925986,00
38376549,11	2734717,00	6534573,10	19314000,68	6978391,33	2814867,00
38693924,07	2708798,60	6277836,91	19495060,04	7406977,52	2805251,00
39427420,71	2863718,00	6792208,50	19611353,62	7259987,59	2900153,00
40248709,40	2727271,00	6608878,72	20520225,20	7326166,48	3066168,00
38626336,87	2862447,00	6721517,93	19303127,16	6859486,78	2879758,00
37527874,44	2818826,00	6596044,78	18651588,86	6644135,80	2817279,00
37232054,08	2900857,00	6463675,80	18388987,38	6665439,90	2813094,00
37668458,76	2932615,00	6518965,20	18711601,76	6609796,80	2895480,00
38319671,43	2919161,00	6623803,93	19239375,00	6587723,50	2949608,00
38175488,11	2946530,00	6681298,02	19147567,90	6452385,19	2947707,00
38728525,32	2953991,00	6818248,90	19361478,46	6690297,96	2904509,00
38754623,81	2896559,00	6864368,53	19268368,88	6944869,40	2780458,00
39342315,85	2768205,00	6706105,29	19686157,26	7307446,30	2874402,00
38813276,99	2552629,00	6341433,77	19583907,14	7520745,57	2814561,51
40518867,04	2795464,00	6789017,53	20172690,96	7845156,26	2916538,29
39408438,43	2721049,00	6561330,60	19877597,32	7275839,72	2972621,79
38127628,99	2934453,00	6672437,97	18885259,02	6691196,25	2944282,75
38087867,68	2891844,00	6591857,91	18859514,27	6804976,20	2939675,30
37353355,38	2882108,00	6381978,18	18492331,66	6751139,17	2845798,37
37838292,59	3041036,00	6503728,60	18501817,09	6880099,30	2911611,60
38982223,20	2992579,00	6504407,81	19349465,89	6981237,50	3154533,00
39311992,89	3047409,00	6870831,48	19442583,31	6878050,10	3073119,00
39799807,83	2965901,00	6905448,18	19915401,05	6932667,60	3080390,00
39577111,84	2917594,00	6902678,04	19748006,10	7128627,70	2880206,00
40003644,79	2812595,75	6715759,24	20078364,46	7505718,32	2891207,02
