0
0
7,8
13,1
25,75
22,812
7,178
57,12
2
33,93
281,3
285,1695652
1075,3
1043,21
1724,84
1785,51
2577,6
6490,31
3330,8
5101,6
6735,344
8581,441
16024,925
14531,101
17108,739
16932,741
22636,872
18772,794
26004,666
27157,918
26718,323
43958,85
46013,394
53608,53
56400,565
49015,748
76784,443
77085,038
63679,682
64349,825
75998,89
102766,718
107786,269
109534,487
132258,426
126817,253
118014,439
112052,945
90352,389
80224,338
131991,436
105457,975
103662,636
141138,841
154556,543
167086,069
160537,954
156810,596
166192,149
150437,491
147434,675
178049,488
214149,878
184896,777
202728,618
204939,78
207433,576
231159,515
219987,598
199894,905
207867,647
187856,061
186327,401
176783,192
233464,679
200381,091
220483,975
231572,698
249897,097
247934,287
233971,404
237885,143
237188,915
216870,036
193006,363
214606,977
220871,817
182372,244
213020,861
214897,815
230340,285
254426,052
252242,543
251416,179
245320,592
244961,761
226505,273
205738,135
230752,362
253591,021
245933,927
236440,985
260670,642
247610,471
252713,662
277992,005
265175,514
214364,272
245215,444
240528,548
271838,878
253224,471
242525,605
251517,289
302971,285
314532,079
312664,816
321602,676
316626,566
348962,24
319546,495
303594,386
322692,025
324526,23
338850,554
322185,27
341093,844
344037,796
330388,283
359165,717
324662,146
306525,788
271387,902
300065,393
323157,662
348485,118
328814,303
292772,392
337435,203
327183,081
313309,165
341024,122
321559,974
296144,683
255360,693
259812,094
335069,062
347603,109
369315,73
359235,994
387236,433
399996,842
398707,426
409343,994
386941,093
382671,302
337824,139
338420,011
452309,676
446137,132
383290,88
467077,253
489775,748
486155,724
482326,964
500209,047
479066,188
487443,636
